Port Name,State,Port Code,Border,Date,Container,Nos People,Location
Sault Sainte Marie,Michigan,3803,US-Canada Border,11/1/18 0:00,Rail Containers Full,1195,POINT (-84.29889 46.47028)
Champlain-Rouses Point,New York,712,US-Canada Border,11/1/18 0:00,Bus Passengers,17901,POINT (-73.44694 44.98639)
Beecher Falls,Vermont,206,US-Canada Border,11/1/18 0:00,Personal Vehicles,3002,POINT (-71.49664 45.00808)
San Luis,Arizona,2608,US-Mexico Border,11/1/18 0:00,Personal Vehicle Passengers,445468,POINT (-114.78139000000002 32.48694)
San Ysidro,California,2504,US-Mexico Border,11/1/18 0:00,Bus Passengers,4358,POINT (-117.02666999999998 32.54306)
Port Huron,Michigan,3802,US-Canada Border,11/1/18 0:00,Bus Passengers,4447,POINT (-82.47889 42.97583)
Eagle Pass,Texas,2303,US-Mexico Border,11/1/18 0:00,Truck Containers Empty,2478,POINT (-100.49917 28.70889)
Antler,North Dakota,3413,US-Canada Border,11/1/18 0:00,Personal Vehicles,557,POINT (-101.28194 48.97083)
Santa Teresa,New Mexico,2408,US-Mexico Border,11/1/18 0:00,Pedestrians,9982,POINT (-106.67903 31.850000000000005)
Laredo,Texas,2304,US-Mexico Border,11/1/18 0:00,Personal Vehicles,430834,POINT (-99.50722 27.50611)
Calexico East,California,2507,US-Mexico Border,11/1/18 0:00,Train Passengers,21,POINT (-115.48433000000001 32.67524)
Del Rio,Texas,2302,US-Mexico Border,11/1/18 0:00,Personal Vehicles,130178,POINT (-100.89639 29.3625)
Nogales,Arizona,2604,US-Mexico Border,11/1/18 0:00,Truck Containers Empty,5125,POINT (-110.93361 31.340279999999996)
Fort Kent,Maine,110,US-Canada Border,11/1/18 0:00,Buses,1,POINT (-68.58458 47.26878)
Turner,Montana,3306,US-Canada Border,11/1/18 0:00,Truck Containers Empty,21,POINT (-108.40599 48.84361)
Buffalo-Niagara Falls,New York,901,US-Canada Border,11/1/18 0:00,Buses,1204,POINT (-79.05694 43.09444)
Fort Fairfield,Maine,107,US-Canada Border,11/1/18 0:00,Trucks,512,POINT (-67.82965 46.76891)
Houlton,Maine,106,US-Canada Border,11/1/18 0:00,Personal Vehicle Passengers,33015,POINT (-67.84083 46.12611)
Eastport,Idaho,3302,US-Canada Border,11/1/18 0:00,Buses,3,POINT (-116.18027999999998 48.99944)
Calexico,California,2503,US-Mexico Border,11/1/18 0:00,Personal Vehicles,397489,POINT (-115.49806000000001 32.67889)
Sumas,Washington,3009,US-Canada Border,11/1/18 0:00,Trains,13,POINT (-122.26361 49.00028)
Lukeville,Arizona,2602,US-Mexico Border,11/1/18 0:00,Buses,44,POINT (-112.81500000000001 31.8825)
Raymond,Montana,3301,US-Canada Border,11/1/18 0:00,Trucks,1491,POINT (-104.575 48.99667)
Metaline Falls,Washington,3025,US-Canada Border,11/1/18 0:00,Trucks,548,POINT (-117.36037000000002 48.85798)
Nogales,Arizona,2604,US-Mexico Border,11/1/18 0:00,Trucks,26777,POINT (-110.93361 31.340279999999996)
Douglas,Arizona,2601,US-Mexico Border,11/1/18 0:00,Trucks,2260,POINT (-109.54472 31.344439999999995)
Frontier,Washington,3020,US-Canada Border,11/1/18 0:00,Truck Containers Empty,1376,POINT (-117.78134000000001 48.910160000000005)
Sumas,Washington,3009,US-Canada Border,11/1/18 0:00,Rail Containers Full,71,POINT (-122.26361 49.00028)
Laredo,Texas,2304,US-Mexico Border,11/1/18 0:00,Rail Containers Empty,16168,POINT (-99.50722 27.50611)
Nogales,Arizona,2604,US-Mexico Border,11/1/18 0:00,Trains,68,POINT (-110.93361 31.340279999999996)
Otay Mesa,California,2506,US-Mexico Border,11/1/18 0:00,Rail Containers Empty,275,POINT (-117.05333 32.57333)
Danville,Washington,3012,US-Canada Border,11/1/18 0:00,Personal Vehicle Passengers,3561,POINT (-118.50309000000001 48.99617)
Sumas,Washington,3009,US-Canada Border,11/1/18 0:00,Buses,41,POINT (-122.26361 49.00028)
Otay Mesa,California,2506,US-Mexico Border,11/1/18 0:00,Pedestrians,291670,POINT (-117.05333 32.57333)
Dunseith,North Dakota,3422,US-Canada Border,11/1/18 0:00,Truck Containers Full,1445,POINT (-100.05863 48.81369)
Roosville,Montana,3318,US-Canada Border,11/1/18 0:00,Pedestrians,1,POINT (-115.04512000000001 48.88171)
International Falls-Ranier,Minnesota,3604,US-Canada Border,11/1/18 0:00,Trucks,1456,POINT (-93.41083 48.60111)
Pembina,North Dakota,3401,US-Canada Border,11/1/18 0:00,Personal Vehicle Passengers,41375,POINT (-97.24333 48.96639)
Dunseith,North Dakota,3422,US-Canada Border,11/1/18 0:00,Personal Vehicle Passengers,6399,POINT (-100.05863 48.81369)
Scobey,Montana,3309,US-Canada Border,11/1/18 0:00,Truck Containers Empty,20,POINT (-105.44272 48.80707)
Richford,Vermont,203,US-Canada Border,11/1/18 0:00,Rail Containers Full,113,POINT (-72.67832000000001 44.98588)
Northgate,North Dakota,3406,US-Canada Border,11/1/18 0:00,Bus Passengers,30,POINT (-102.39634 48.89848)
Beecher Falls,Vermont,206,US-Canada Border,11/1/18 0:00,Trucks,875,POINT (-71.49664 45.00808)
Grand Portage,Minnesota,3613,US-Canada Border,11/1/18 0:00,Personal Vehicles,12985,POINT (-89.68472000000001 47.96389)
Buffalo-Niagara Falls,New York,901,US-Canada Border,11/1/18 0:00,Trucks,77724,POINT (-79.05694 43.09444)
Progreso,Texas,2309,US-Mexico Border,11/1/18 0:00,Truck Containers Empty,2690,POINT (-97.94889 26.061670000000003)
Eastport,Idaho,3302,US-Canada Border,11/1/18 0:00,Pedestrians,192,POINT (-116.18027999999998 48.99944)
Alcan,Alaska,3104,US-Canada Border,11/1/18 0:00,Truck Containers Empty,384,POINT (-142.98928 63.33693)
Fort Kent,Maine,110,US-Canada Border,11/1/18 0:00,Bus Passengers,14,POINT (-68.58458 47.26878)
Alexandria Bay,New York,708,US-Canada Border,11/1/18 0:00,Personal Vehicles,45711,POINT (-75.91806 44.33583)
Dalton Cache,Alaska,3106,US-Canada Border,11/1/18 0:00,Buses,1,POINT (-135.40995 59.10606000000001)
Del Bonita,Montana,3322,US-Canada Border,11/1/18 0:00,Personal Vehicles,1658,POINT (-112.32481 48.63274)
Roma,Texas,2310,US-Mexico Border,11/1/18 0:00,Bus Passengers,736,POINT (-99.01833 26.40361)
Boundary,Washington,3015,US-Canada Border,11/1/18 0:00,Train Passengers,42,POINT (-117.89655000000002 48.54648)
Fort Kent,Maine,110,US-Canada Border,11/1/18 0:00,Personal Vehicles,7997,POINT (-68.58458 47.26878)
Roosville,Montana,3318,US-Canada Border,11/1/18 0:00,Personal Vehicles,7428,POINT (-115.04512000000001 48.88171)
Pembina,North Dakota,3401,US-Canada Border,11/1/18 0:00,Trucks,18083,POINT (-97.24333 48.96639)
Champlain-Rouses Point,New York,712,US-Canada Border,11/1/18 0:00,Truck Containers Full,23295,POINT (-73.44694 44.98639)
Calais,Maine,115,US-Canada Border,11/1/18 0:00,Trucks,4986,POINT (-67.27917 45.18889)
Fortuna,North Dakota,3417,US-Canada Border,11/1/18 0:00,Personal Vehicle Passengers,1623,POINT (-103.77906 48.91086)
Presidio,Texas,2403,US-Mexico Border,11/1/18 0:00,Truck Containers Full,766,POINT (-104.37167 29.56056)
Calexico East,California,2507,US-Mexico Border,11/1/18 0:00,Rail Containers Empty,523,POINT (-115.48433000000001 32.67524)
Eagle Pass,Texas,2303,US-Mexico Border,11/1/18 0:00,Truck Containers Full,12376,POINT (-100.49917 28.70889)
Port Angeles,Washington,3007,US-Canada Border,11/1/18 0:00,Truck Containers Full,21,POINT (-123.43280000000001 48.11365)
Massena,New York,704,US-Canada Border,11/1/18 0:00,Buses,339,POINT (-74.74 44.98944)
Dunseith,North Dakota,3422,US-Canada Border,11/1/18 0:00,Buses,6,POINT (-100.05863 48.81369)
Porthill,Idaho,3308,US-Canada Border,11/1/18 0:00,Bus Passengers,31,POINT (-116.49828 48.99282)
Madawaska,Maine,109,US-Canada Border,11/1/18 0:00,Personal Vehicle Passengers,42259,POINT (-68.3271 47.35446)
Oroville,Washington,3019,US-Canada Border,11/1/18 0:00,Trucks,2225,POINT (-119.43444 48.93917)
Sherwood,North Dakota,3414,US-Canada Border,11/1/18 0:00,Truck Containers Empty,220,POINT (-101.55954000000001 48.99719)
Opheim,Montana,3317,US-Canada Border,11/1/18 0:00,Truck Containers Full,2,POINT (-106.40265 48.85574)
Boundary,Washington,3015,US-Canada Border,11/1/18 0:00,Rail Containers Full,587,POINT (-117.89655000000002 48.54648)
Champlain-Rouses Point,New York,712,US-Canada Border,11/1/18 0:00,Personal Vehicles,65384,POINT (-73.44694 44.98639)
Piegan,Montana,3316,US-Canada Border,11/1/18 0:00,Truck Containers Full,169,POINT (-113.43406 48.85152)
Buffalo-Niagara Falls,New York,901,US-Canada Border,11/1/18 0:00,Rail Containers Full,8156,POINT (-79.05694 43.09444)
Rio Grande City,Texas,2307,US-Mexico Border,11/1/18 0:00,Personal Vehicle Passengers,77368,POINT (-98.82 26.37944)
Porthill,Idaho,3308,US-Canada Border,11/1/18 0:00,Truck Containers Full,39,POINT (-116.49828 48.99282)
International Falls-Ranier,Minnesota,3604,US-Canada Border,11/1/18 0:00,Rail Containers Empty,15356,POINT (-93.41083 48.60111)
Douglas,Arizona,2601,US-Mexico Border,11/1/18 0:00,Bus Passengers,1804,POINT (-109.54472 31.344439999999995)
Richford,Vermont,203,US-Canada Border,11/1/18 0:00,Trains,9,POINT (-72.67832000000001 44.98588)
Fort Kent,Maine,110,US-Canada Border,11/1/18 0:00,Truck Containers Empty,764,POINT (-68.58458 47.26878)
Columbus,New Mexico,2406,US-Mexico Border,11/1/18 0:00,Truck Containers Full,2367,POINT (-107.63944 31.827499999999997)
Presidio,Texas,2403,US-Mexico Border,11/1/18 0:00,Personal Vehicle Passengers,124978,POINT (-104.37167 29.56056)
Maida,North Dakota,3416,US-Canada Border,11/1/18 0:00,Truck Containers Empty,180,POINT (-98.36953 48.98568)
Vanceboro,Maine,105,US-Canada Border,11/1/18 0:00,Train Passengers,48,POINT (-67.42955 45.55984)
Jackman,Maine,104,US-Canada Border,11/1/18 0:00,Trucks,5536,POINT (-70.255 45.62389)
Antler,North Dakota,3413,US-Canada Border,11/1/18 0:00,Personal Vehicle Passengers,1048,POINT (-101.28194 48.97083)
Trout River,New York,715,US-Canada Border,11/1/18 0:00,Rail Containers Full,1545,POINT (-73.44253 44.990010000000005)
Lynden,Washington,3023,US-Canada Border,11/1/18 0:00,Bus Passengers,93,POINT (-122.44316000000002 48.94802)
Hansboro,North Dakota,3415,US-Canada Border,11/1/18 0:00,Truck Containers Empty,25,POINT (-99.38250000000001 48.95)
Del Rio,Texas,2302,US-Mexico Border,11/1/18 0:00,Pedestrians,15073,POINT (-100.89639 29.3625)
Grand Portage,Minnesota,3613,US-Canada Border,11/1/18 0:00,Bus Passengers,1139,POINT (-89.68472000000001 47.96389)
Ketchikan,Alaska,3102,US-Canada Border,11/1/18 0:00,Pedestrians,9,POINT (-131.64031 55.33897)
St. John,North Dakota,3405,US-Canada Border,11/1/18 0:00,Personal Vehicles,742,POINT (-99.71915 48.94208)
Highgate Springs-Alburg,Vermont,212,US-Canada Border,11/1/18 0:00,Train Passengers,42,POINT (-73.10583 44.979440000000004)
Calexico East,California,2507,US-Mexico Border,11/1/18 0:00,Personal Vehicles,271187,POINT (-115.48433000000001 32.67524)
Laredo,Texas,2304,US-Mexico Border,11/1/18 0:00,Trucks,197412,POINT (-99.50722 27.50611)
Hidalgo,Texas,2305,US-Mexico Border,11/1/18 0:00,Buses,1713,POINT (-98.26278 26.1)
Pembina,North Dakota,3401,US-Canada Border,11/1/18 0:00,Truck Containers Empty,2191,POINT (-97.24333 48.96639)
Highgate Springs-Alburg,Vermont,212,US-Canada Border,11/1/18 0:00,Bus Passengers,5405,POINT (-73.10583 44.979440000000004)
Calais,Maine,115,US-Canada Border,11/1/18 0:00,Pedestrians,210,POINT (-67.27917 45.18889)
Port Huron,Michigan,3802,US-Canada Border,11/1/18 0:00,Rail Containers Empty,10456,POINT (-82.47889 42.97583)
Roosville,Montana,3318,US-Canada Border,11/1/18 0:00,Truck Containers Full,365,POINT (-115.04512000000001 48.88171)
Danville,Washington,3012,US-Canada Border,11/1/18 0:00,Trucks,57,POINT (-118.50309000000001 48.99617)
Otay Mesa,California,2506,US-Mexico Border,11/1/18 0:00,Truck Containers Full,64516,POINT (-117.05333 32.57333)
El Paso,Texas,2402,US-Mexico Border,11/1/18 0:00,Personal Vehicles,954517,POINT (-106.48639 31.758610000000004)
Buffalo-Niagara Falls,New York,901,US-Canada Border,11/1/18 0:00,Personal Vehicle Passengers,731403,POINT (-79.05694 43.09444)
Columbus,New Mexico,2406,US-Mexico Border,11/1/18 0:00,Truck Containers Empty,52,POINT (-107.63944 31.827499999999997)
Naco,Arizona,2603,US-Mexico Border,11/1/18 0:00,Bus Passengers,351,POINT (-109.9475 31.335280000000004)
Trout River,New York,715,US-Canada Border,11/1/18 0:00,Truck Containers Full,509,POINT (-73.44253 44.990010000000005)
Fortuna,North Dakota,3417,US-Canada Border,11/1/18 0:00,Truck Containers Empty,34,POINT (-103.77906 48.91086)
Eagle Pass,Texas,2303,US-Mexico Border,11/1/18 0:00,Trains,287,POINT (-100.49917 28.70889)
Eastport,Idaho,3302,US-Canada Border,11/1/18 0:00,Train Passengers,192,POINT (-116.18027999999998 48.99944)
Hidalgo,Texas,2305,US-Mexico Border,11/1/18 0:00,Personal Vehicles,371899,POINT (-98.26278 26.1)
Norton,Vermont,211,US-Canada Border,11/1/18 0:00,Buses,1,POINT (-71.79528000000002 45.01)
Opheim,Montana,3317,US-Canada Border,11/1/18 0:00,Trucks,23,POINT (-106.40265 48.85574)
Columbus,New Mexico,2406,US-Mexico Border,11/1/18 0:00,Personal Vehicles,27830,POINT (-107.63944 31.827499999999997)
Fort Fairfield,Maine,107,US-Canada Border,11/1/18 0:00,Personal Vehicle Passengers,10432,POINT (-67.82965 46.76891)
Sault Sainte Marie,Michigan,3803,US-Canada Border,11/1/18 0:00,Personal Vehicles,49580,POINT (-84.29889 46.47028)
Buffalo-Niagara Falls,New York,901,US-Canada Border,11/1/18 0:00,Pedestrians,13639,POINT (-79.05694 43.09444)
Naco,Arizona,2603,US-Mexico Border,11/1/18 0:00,Buses,13,POINT (-109.9475 31.335280000000004)
Westhope,North Dakota,3419,US-Canada Border,11/1/18 0:00,Personal Vehicles,606,POINT (-101.02001 48.9094)
Eagle Pass,Texas,2303,US-Mexico Border,11/1/18 0:00,Bus Passengers,4311,POINT (-100.49917 28.70889)
Richford,Vermont,203,US-Canada Border,11/1/18 0:00,Personal Vehicle Passengers,9871,POINT (-72.67832000000001 44.98588)
Champlain-Rouses Point,New York,712,US-Canada Border,11/1/18 0:00,Truck Containers Empty,3265,POINT (-73.44694 44.98639)
Trout River,New York,715,US-Canada Border,11/1/18 0:00,Personal Vehicle Passengers,15098,POINT (-73.44253 44.990010000000005)
Beecher Falls,Vermont,206,US-Canada Border,11/1/18 0:00,Personal Vehicle Passengers,4870,POINT (-71.49664 45.00808)
Otay Mesa,California,2506,US-Mexico Border,11/1/18 0:00,Truck Containers Empty,20642,POINT (-117.05333 32.57333)
Northgate,North Dakota,3406,US-Canada Border,11/1/18 0:00,Truck Containers Empty,457,POINT (-102.39634 48.89848)
Jackman,Maine,104,US-Canada Border,11/1/18 0:00,Personal Vehicle Passengers,11339,POINT (-70.255 45.62389)
Laredo,Texas,2304,US-Mexico Border,11/1/18 0:00,Buses,2989,POINT (-99.50722 27.50611)
Vanceboro,Maine,105,US-Canada Border,11/1/18 0:00,Personal Vehicles,1671,POINT (-67.42955 45.55984)
Massena,New York,704,US-Canada Border,11/1/18 0:00,Bus Passengers,4585,POINT (-74.74 44.98944)
Westhope,North Dakota,3419,US-Canada Border,11/1/18 0:00,Truck Containers Full,667,POINT (-101.02001 48.9094)
Turner,Montana,3306,US-Canada Border,11/1/18 0:00,Truck Containers Full,2,POINT (-108.40599 48.84361)
Walhalla,North Dakota,3407,US-Canada Border,11/1/18 0:00,Trucks,803,POINT (-97.91778 48.92333)
Roosville,Montana,3318,US-Canada Border,11/1/18 0:00,Personal Vehicle Passengers,14272,POINT (-115.04512000000001 48.88171)
Sweetgrass,Montana,3310,US-Canada Border,11/1/18 0:00,Rail Containers Full,2273,POINT (-111.95972 48.99611000000001)
Alexandria Bay,New York,708,US-Canada Border,11/1/18 0:00,Bus Passengers,2669,POINT (-75.91806 44.33583)
Portal,North Dakota,3403,US-Canada Border,11/1/18 0:00,Pedestrians,133,POINT (-102.54917 48.99583)
Maida,North Dakota,3416,US-Canada Border,11/1/18 0:00,Buses,2,POINT (-98.36953 48.98568)
Trout River,New York,715,US-Canada Border,11/1/18 0:00,Trains,54,POINT (-73.44253 44.990010000000005)
Walhalla,North Dakota,3407,US-Canada Border,11/1/18 0:00,Truck Containers Full,212,POINT (-97.91778 48.92333)
Point Roberts,Washington,3017,US-Canada Border,11/1/18 0:00,Truck Containers Empty,966,POINT (-123.07994 48.96978)
Norton,Vermont,211,US-Canada Border,11/1/18 0:00,Rail Containers Empty,164,POINT (-71.79528000000002 45.01)
Laredo,Texas,2304,US-Mexico Border,11/1/18 0:00,Rail Containers Full,21735,POINT (-99.50722 27.50611)
Brownsville,Texas,2301,US-Mexico Border,11/1/18 0:00,Pedestrians,243032,POINT (-97.49722 25.90139)
Buffalo-Niagara Falls,New York,901,US-Canada Border,11/1/18 0:00,Personal Vehicles,357432,POINT (-79.05694 43.09444)
International Falls-Ranier,Minnesota,3604,US-Canada Border,11/1/18 0:00,Trains,386,POINT (-93.41083 48.60111)
Calexico East,California,2507,US-Mexico Border,11/1/18 0:00,Trains,21,POINT (-115.48433000000001 32.67524)
Norton,Vermont,211,US-Canada Border,11/1/18 0:00,Personal Vehicles,1624,POINT (-71.79528000000002 45.01)
Port Angeles,Washington,3007,US-Canada Border,11/1/18 0:00,Bus Passengers,45,POINT (-123.43280000000001 48.11365)
Warroad,Minnesota,3423,US-Canada Border,11/1/18 0:00,Personal Vehicle Passengers,10120,POINT (-95.3261 48.89625)
Naco,Arizona,2603,US-Mexico Border,11/1/18 0:00,Truck Containers Empty,105,POINT (-109.9475 31.335280000000004)
International Falls-Ranier,Minnesota,3604,US-Canada Border,11/1/18 0:00,Personal Vehicle Passengers,44367,POINT (-93.41083 48.60111)
Piegan,Montana,3316,US-Canada Border,11/1/18 0:00,Truck Containers Empty,39,POINT (-113.43406 48.85152)
Jackman,Maine,104,US-Canada Border,11/1/18 0:00,Rail Containers Full,740,POINT (-70.255 45.62389)
San Luis,Arizona,2608,US-Mexico Border,11/1/18 0:00,Bus Passengers,18,POINT (-114.78139000000002 32.48694)
Boundary,Washington,3015,US-Canada Border,11/1/18 0:00,Pedestrians,4,POINT (-117.89655000000002 48.54648)
Jackman,Maine,104,US-Canada Border,11/1/18 0:00,Truck Containers Full,1918,POINT (-70.255 45.62389)
Pembina,North Dakota,3401,US-Canada Border,11/1/18 0:00,Train Passengers,242,POINT (-97.24333 48.96639)
Blaine,Washington,3004,US-Canada Border,11/1/18 0:00,Rail Containers Empty,10886,POINT (-122.74583 48.99389)
Derby Line,Vermont,209,US-Canada Border,11/1/18 0:00,Pedestrians,21,POINT (-72.09944 45.005)
Ogdensburg,New York,701,US-Canada Border,11/1/18 0:00,Truck Containers Empty,911,POINT (-75.48167 44.70667)
Piegan,Montana,3316,US-Canada Border,11/1/18 0:00,Personal Vehicle Passengers,7340,POINT (-113.43406 48.85152)
Van Buren,Maine,108,US-Canada Border,11/1/18 0:00,Personal Vehicles,10394,POINT (-67.94271 47.16207)
Champlain-Rouses Point,New York,712,US-Canada Border,11/1/18 0:00,Train Passengers,2037,POINT (-73.44694 44.98639)
Brownsville,Texas,2301,US-Mexico Border,11/1/18 0:00,Rail Containers Empty,6159,POINT (-97.49722 25.90139)
Champlain-Rouses Point,New York,712,US-Canada Border,11/1/18 0:00,Buses,501,POINT (-73.44694 44.98639)
Raymond,Montana,3301,US-Canada Border,11/1/18 0:00,Buses,1,POINT (-104.575 48.99667)
Douglas,Arizona,2601,US-Mexico Border,11/1/18 0:00,Buses,184,POINT (-109.54472 31.344439999999995)
Blaine,Washington,3004,US-Canada Border,11/1/18 0:00,Personal Vehicles,301024,POINT (-122.74583 48.99389)
Sweetgrass,Montana,3310,US-Canada Border,11/1/18 0:00,Train Passengers,180,POINT (-111.95972 48.99611000000001)
Willow Creek,Montana,3325,US-Canada Border,11/1/18 0:00,Personal Vehicles,201,POINT (-109.67761 48.54863)
Eagle Pass,Texas,2303,US-Mexico Border,11/1/18 0:00,Rail Containers Full,12817,POINT (-100.49917 28.70889)
Sweetgrass,Montana,3310,US-Canada Border,11/1/18 0:00,Buses,2,POINT (-111.95972 48.99611000000001)
Blaine,Washington,3004,US-Canada Border,11/1/18 0:00,Rail Containers Full,9172,POINT (-122.74583 48.99389)
Point Roberts,Washington,3017,US-Canada Border,11/1/18 0:00,Personal Vehicle Passengers,91021,POINT (-123.07994 48.96978)
Sault Sainte Marie,Michigan,3803,US-Canada Border,11/1/18 0:00,Trucks,3315,POINT (-84.29889 46.47028)
Portal,North Dakota,3403,US-Canada Border,11/1/18 0:00,Rail Containers Full,20471,POINT (-102.54917 48.99583)
Porthill,Idaho,3308,US-Canada Border,11/1/18 0:00,Pedestrians,15,POINT (-116.49828 48.99282)
El Paso,Texas,2402,US-Mexico Border,11/1/18 0:00,Pedestrians,645842,POINT (-106.48639 31.758610000000004)
Dalton Cache,Alaska,3106,US-Canada Border,11/1/18 0:00,Trucks,119,POINT (-135.40995 59.10606000000001)
Derby Line,Vermont,209,US-Canada Border,11/1/18 0:00,Truck Containers Full,7442,POINT (-72.09944 45.005)
Sherwood,North Dakota,3414,US-Canada Border,11/1/18 0:00,Trucks,332,POINT (-101.55954000000001 48.99719)
Highgate Springs-Alburg,Vermont,212,US-Canada Border,11/1/18 0:00,Truck Containers Full,6723,POINT (-73.10583 44.979440000000004)
Columbus,New Mexico,2406,US-Mexico Border,11/1/18 0:00,Personal Vehicle Passengers,62236,POINT (-107.63944 31.827499999999997)
Bridgewater,Maine,127,US-Canada Border,11/1/18 0:00,Personal Vehicle Passengers,4815,POINT (-67.84262 46.41923)
Detroit,Michigan,3801,US-Canada Border,11/1/18 0:00,Personal Vehicles,324501,POINT (-83.10222 42.38306000000001)
Baudette,Minnesota,3424,US-Canada Border,11/1/18 0:00,Bus Passengers,173,POINT (-94.72512 48.70731)
Warroad,Minnesota,3423,US-Canada Border,11/1/18 0:00,Bus Passengers,188,POINT (-95.3261 48.89625)
Boundary,Washington,3015,US-Canada Border,11/1/18 0:00,Trucks,13,POINT (-117.89655000000002 48.54648)
Laurier,Washington,3016,US-Canada Border,11/1/18 0:00,Trains,7,POINT (-118.22302 48.99892)
Nogales,Arizona,2604,US-Mexico Border,11/1/18 0:00,Train Passengers,272,POINT (-110.93361 31.340279999999996)
Douglas,Arizona,2601,US-Mexico Border,11/1/18 0:00,Truck Containers Empty,573,POINT (-109.54472 31.344439999999995)
Port Huron,Michigan,3802,US-Canada Border,11/1/18 0:00,Buses,223,POINT (-82.47889 42.97583)
Baudette,Minnesota,3424,US-Canada Border,11/1/18 0:00,Personal Vehicle Passengers,19864,POINT (-94.72512 48.70731)
Oroville,Washington,3019,US-Canada Border,11/1/18 0:00,Buses,14,POINT (-119.43444 48.93917)
Grand Portage,Minnesota,3613,US-Canada Border,11/1/18 0:00,Trucks,1007,POINT (-89.68472000000001 47.96389)
Portal,North Dakota,3403,US-Canada Border,11/1/18 0:00,Trucks,7242,POINT (-102.54917 48.99583)
Bridgewater,Maine,127,US-Canada Border,11/1/18 0:00,Personal Vehicles,2859,POINT (-67.84262 46.41923)
Madawaska,Maine,109,US-Canada Border,11/1/18 0:00,Truck Containers Empty,135,POINT (-68.3271 47.35446)
Port Huron,Michigan,3802,US-Canada Border,11/1/18 0:00,Train Passengers,598,POINT (-82.47889 42.97583)
Richford,Vermont,203,US-Canada Border,11/1/18 0:00,Trucks,347,POINT (-72.67832000000001 44.98588)
Danville,Washington,3012,US-Canada Border,11/1/18 0:00,Truck Containers Empty,57,POINT (-118.50309000000001 48.99617)
Carbury,North Dakota,3421,US-Canada Border,11/1/18 0:00,Personal Vehicles,851,POINT (-100.68648 48.90957)
Eastport,Maine,103,US-Canada Border,11/1/18 0:00,Truck Containers Empty,114,POINT (-66.99387 44.90357)
Houlton,Maine,106,US-Canada Border,11/1/18 0:00,Trucks,7495,POINT (-67.84083 46.12611)
Lynden,Washington,3023,US-Canada Border,11/1/18 0:00,Truck Containers Empty,2787,POINT (-122.44316000000002 48.94802)
Calais,Maine,115,US-Canada Border,11/1/18 0:00,Bus Passengers,984,POINT (-67.27917 45.18889)
Portal,North Dakota,3403,US-Canada Border,11/1/18 0:00,Train Passengers,492,POINT (-102.54917 48.99583)
St. John,North Dakota,3405,US-Canada Border,11/1/18 0:00,Truck Containers Full,1,POINT (-99.71915 48.94208)
Whitlash,Montana,3321,US-Canada Border,11/1/18 0:00,Truck Containers Full,1,POINT (-111.24900000000001 48.90372)
Skagway,Alaska,3103,US-Canada Border,11/1/18 0:00,Truck Containers Empty,152,POINT (-135.30656 59.47196999999999)
Noonan,North Dakota,3420,US-Canada Border,11/1/18 0:00,Personal Vehicle Passengers,3589,POINT (-103.00333 48.88232)
Boundary,Washington,3015,US-Canada Border,11/1/18 0:00,Rail Containers Empty,466,POINT (-117.89655000000002 48.54648)
Laredo,Texas,2304,US-Mexico Border,11/1/18 0:00,Truck Containers Empty,55062,POINT (-99.50722 27.50611)
Lancaster,Minnesota,3430,US-Canada Border,11/1/18 0:00,Personal Vehicle Passengers,3243,POINT (-96.82024 48.84911000000001)
Morgan,Montana,3319,US-Canada Border,11/1/18 0:00,Truck Containers Full,8,POINT (-107.85719 48.78541)
Detroit,Michigan,3801,US-Canada Border,11/1/18 0:00,Buses,687,POINT (-83.10222 42.38306000000001)
Ogdensburg,New York,701,US-Canada Border,11/1/18 0:00,Personal Vehicles,22858,POINT (-75.48167 44.70667)
Jackman,Maine,104,US-Canada Border,11/1/18 0:00,Truck Containers Empty,3620,POINT (-70.255 45.62389)
Calexico East,California,2507,US-Mexico Border,11/1/18 0:00,Pedestrians,32247,POINT (-115.48433000000001 32.67524)
Brownsville,Texas,2301,US-Mexico Border,11/1/18 0:00,Trucks,22095,POINT (-97.49722 25.90139)
El Paso,Texas,2402,US-Mexico Border,11/1/18 0:00,Buses,1334,POINT (-106.48639 31.758610000000004)
Roma,Texas,2310,US-Mexico Border,11/1/18 0:00,Personal Vehicles,62763,POINT (-99.01833 26.40361)
Eastport,Idaho,3302,US-Canada Border,11/1/18 0:00,Trucks,4308,POINT (-116.18027999999998 48.99944)
Maida,North Dakota,3416,US-Canada Border,11/1/18 0:00,Bus Passengers,21,POINT (-98.36953 48.98568)
Madawaska,Maine,109,US-Canada Border,11/1/18 0:00,Truck Containers Full,20,POINT (-68.3271 47.35446)
Norton,Vermont,211,US-Canada Border,11/1/18 0:00,Train Passengers,34,POINT (-71.79528000000002 45.01)
Pembina,North Dakota,3401,US-Canada Border,11/1/18 0:00,Rail Containers Full,12292,POINT (-97.24333 48.96639)
Buffalo-Niagara Falls,New York,901,US-Canada Border,11/1/18 0:00,Trains,185,POINT (-79.05694 43.09444)
Neche,North Dakota,3404,US-Canada Border,11/1/18 0:00,Truck Containers Empty,712,POINT (-97.55444 48.98611)
Morgan,Montana,3319,US-Canada Border,11/1/18 0:00,Personal Vehicles,364,POINT (-107.85719 48.78541)
Del Bonita,Montana,3322,US-Canada Border,11/1/18 0:00,Truck Containers Empty,23,POINT (-112.32481 48.63274)
